127.0.0.1, 2016-12-24 19:49:56, GET, /admin/default/index, HTTP/1.1, 200, 0.518000
127.0.0.1, 2016-12-24 19:49:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 19:50:02, POST, /admin/default/index, HTTP/1.1, 303, 0.196000
127.0.0.1, 2016-12-24 19:50:03, GET, /admin/default/site, HTTP/1.1, 200, 0.208000
127.0.0.1, 2016-12-24 19:50:04, POST, /admin/default/check_version, HTTP/1.1, 200, 0.704000
127.0.0.1, 2016-12-24 19:50:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 19:50:09, GET, /admin/default/design/eadtools, HTTP/1.1, 200, 0.707000
127.0.0.1, 2016-12-24 19:50:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 19:54:40, GET, /eadtools/default/index, HTTP/1.1, 200, 0.437000
127.0.0.1, 2016-12-24 19:54:41, GET, /eadtools/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-12-24 19:54:41, GET, /eadtools/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-12-24 19:54:47, GET, /eadtools/default/disciplinas, HTTP/1.1, 200, 0.276000
127.0.0.1, 2016-12-24 20:03:04, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 500, 0.360000
127.0.0.1, 2016-12-24 20:03:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-24 20:03:07, GET, /admin/default/ticket/eadtools/127.0.0.1.2016-12-24.20-03-03.041c8bf0-ca69-47f8-b39d-a94b89bd6c6d, HTTP/1.1, 200, 0.246000
127.0.0.1, 2016-12-24 20:03:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-24 20:05:07, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 1.314000
127.0.0.1, 2016-12-24 20:06:35, GET, /eadtools/default/planosdeentrega, HTTP/1.1, 200, 0.345000
